code_site,adresse,operateur,mise_en_serv,mise_en_serv_4g,mise_en_serv_5g_3500,mise_en_serv_5g_700,type,ardt,geo_shape,geo_point_2d
75116_113_01,5 bis Rue massenet,FREE MOBILE,2019-08-19,2019-08-23,,,3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.279549734702397, 48.85833815460331], 'type': 'Point'}, 'properties': {}}","{'lon': 2.279549734702397, 'lat': 48.85833815460331}"
75116_124_26,1 Impasse régnier,FREE MOBILE,2021-07-29,2021-07-29,2021-08-03,,3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.284285500078927, 48.85670699991089], 'type': 'Point'}, 'properties': {}}","{'lon': 2.284285500078927, 'lat': 48.85670699991089}"
T15069,1 Rue verniquet,BOUYGUES,2004-02-19,,,,,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.3004657688056556, 48.88683214528272], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3004657688056556, 'lat': 48.88683214528272}"
T15397,10 Avenue franklin delano roosevelt,BOUYGUES,2019-12-11,,,,,75008,"{'type': 'Feature', 'geometry': {'coordinates': [2.3102325004317232, 48.87076499982679], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3102325004317232, 'lat': 48.87076499982679}"
75105_010_01,10 Rue jussieu,FREE MOBILE,2012-07-05,2013-11-06,2024-07-09,,3G/4G/5G,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.3563800001546404, 48.845447999676004], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3563800001546404, 'lat': 48.845447999676004}"
00000415U7,101 Rue de la convention,ORANGE,2011-08-04,2013-12-18,2023-04-25,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.287151999483586, 48.84155999968844], 'type': 'Point'}, 'properties': {}}","{'lon': 2.287151999483586, 'lat': 48.84155999968844}"
T15041,102 Rue de provence,BOUYGUES,2002-12-20,,,,,75009,"{'type': 'Feature', 'geometry': {'coordinates': [2.329074295932049, 48.87429356990706], 'type': 'Point'}, 'properties': {}}","{'lon': 2.329074295932049, 'lat': 48.87429356990706}"
T16770,11 Rue ampere,BOUYGUES,2016-07-12,,,,,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.3057757700292427, 48.88512214317522], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3057757700292427, 'lat': 48.88512214317522}"
7510052119,11 Rue ampere,SFR,2024-10-31,,,,3G/4G/5G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.3057280000751974, 48.885101999929745], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3057280000751974, 'lat': 48.885101999929745}"
753534,11 Rue d'arcole,SFR,2022-07-18,,,,2G/3G/4G/5G,75004,"{'type': 'Feature', 'geometry': {'coordinates': [2.3498622586389093, 48.854261125865484], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3498622586389093, 'lat': 48.854261125865484}"
T10627,11 Rue de l'ourcq,BOUYGUES,1996-05-31,,,,,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.384486999938082, 48.88730699992529], 'type': 'Point'}, 'properties': {}}","{'lon': 2.384486999938082, 'lat': 48.88730699992529}"
